,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
244,frozenset({'Nao_Tem_RR_Enchente'}),"frozenset({'Nao_Tem_Instr_Municipais', 'TO', 'Nao_Tem_RR_Enxurrada', 'Nao_ATV_P&DC', 'Nao_Tem_Orgs_RRD'})",0.24222222222222223,0.06888888888888889,0.06888888888888889,0.28440366972477066,4.128440366972478,0.05220246913580247,1.3011680911680914,1.0
255,frozenset({'Nao_Tem_RR_Enchente'}),"frozenset({'Nao_Tem_Instr_Municipais', 'TO', 'Nao_Tem_Medida_Estrutural_RRD', 'Nao_Tem_RR_Enxurrada', 'Nao_Tem_Orgs_RRD'})",0.24222222222222223,0.06888888888888889,0.06888888888888889,0.28440366972477066,4.128440366972478,0.05220246913580247,1.3011680911680914,1.0
273,frozenset({'Nao_Tem_RR_Enchente'}),"frozenset({'TO', 'Nao_Tem_Medida_Estrutural_RRD', 'Nao_ATV_P&DC', 'Nao_Tem_RR_Enxurrada', 'Nao_Tem_Orgs_RRD'})",0.24222222222222223,0.06888888888888889,0.06888888888888889,0.28440366972477066,4.128440366972478,0.05220246913580247,1.3011680911680914,1.0
295,frozenset({'Nao_Tem_RR_Enchente'}),"frozenset({'Nao_Tem_Instr_Municipais', 'TO', 'Nao_Tem_Medida_Estrutural_RRD', 'Nao_ATV_P&DC', 'Nao_Tem_RR_Enxurrada', 'Nao_Tem_Orgs_RRD'})",0.24222222222222223,0.06888888888888889,0.06888888888888889,0.28440366972477066,4.128440366972478,0.05220246913580247,1.3011680911680914,1.0
318,frozenset({'Nao_Tem_RR_Enchente'}),"frozenset({'Nao_Tem_RR_Enc_Enx', 'TO'})",0.24222222222222223,0.06888888888888889,0.06888888888888889,0.28440366972477066,4.128440366972478,0.05220246913580247,1.3011680911680914,1.0
345,frozenset({'Nao_Tem_RR_Enchente'}),"frozenset({'Nao_Tem_RR_Enc_Enx', 'Nao_Tem_RR_Enxurrada', 'TO'})",0.24222222222222223,0.06888888888888889,0.06888888888888889,0.28440366972477066,4.128440366972478,0.05220246913580247,1.3011680911680914,1.0
394,frozenset({'Nao_Tem_RR_Enchente'}),"frozenset({'Nao_Tem_Medida_Estrutural_RRD', 'Nao_Tem_RR_Enc_Enx', 'TO'})",0.24222222222222223,0.06888888888888889,0.06888888888888889,0.28440366972477066,4.128440366972478,0.05220246913580247,1.3011680911680914,1.0
405,frozenset({'Nao_Tem_RR_Enchente'}),"frozenset({'Nao_Tem_RR_Enc_Enx', 'Nao_Tem_Orgs_RRD', 'TO'})",0.24222222222222223,0.06888888888888889,0.06888888888888889,0.28440366972477066,4.128440366972478,0.05220246913580247,1.3011680911680914,1.0
413,frozenset({'Nao_Tem_RR_Enchente'}),"frozenset({'Nao_Tem_RR_Enc_Enx', 'Nao_ATV_P&DC', 'TO'})",0.24222222222222223,0.06888888888888889,0.06888888888888889,0.28440366972477066,4.128440366972478,0.05220246913580247,1.3011680911680914,1.0
416,frozenset({'Nao_Tem_RR_Enchente'}),"frozenset({'Nao_Tem_RR_Enc_Enx', 'Nao_Tem_Instr_Municipais', 'TO'})",0.24222222222222223,0.06888888888888889,0.06888888888888889,0.28440366972477066,4.128440366972478,0.05220246913580247,1.3011680911680914,1.0
