,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
0,frozenset({'Atingido_Seca'}),"frozenset({'Tem_RR_Seca', 'Tem_Instr_Deslizamento', 'Nao_Tem_Instr_Municipais'})",0.38329764453961457,0.06638115631691649,0.06638115631691649,0.17318435754189945,2.6089385474860336,0.04093741545882644,1.1291741420221078,1.0
1,frozenset({'Tem_RR_Seca'}),"frozenset({'Tem_Medida_Estrutural_RRD', 'Tem_Instr_Deslizamento', 'Nao_Tem_Instr_Municipais', 'Atingido_Seca'})",0.39186295503211993,0.05139186295503212,0.05139186295503212,0.13114754098360656,2.551912568306011,0.0312532956728675,1.091794270938548,1.0
2,frozenset({'Atingido_Seca'}),"frozenset({'Tem_RR_Seca', 'Tem_Instr_Deslizamento', 'Nao_Tem_Instr_Municipais', 'Tem_Medida_Estrutural_RRD'})",0.38329764453961457,0.05139186295503212,0.05139186295503212,0.1340782122905028,2.6089385474860336,0.03169348293586563,1.0954893969745114,1.0
3,frozenset({'Tem_Instr_Deslizamento'}),"frozenset({'Tem_RR_Des', 'Nao_Tem_Instr_Municipais', 'Tem_Medida_Estrutural_RRD'})",0.3083511777301927,0.09207708779443255,0.09207708779443255,0.2986111111111111,3.2430555555555554,0.06368500933105292,1.2944643500752646,1.0
4,frozenset({'Atingido_Seca'}),"frozenset({'Tem_RR_Seca', 'Tem_RR_Des', 'Nao_Tem_Instr_Municipais'})",0.38329764453961457,0.059957173447537475,0.059957173447537475,0.1564245810055866,2.6089385474860336,0.03697573009184324,1.1143554036615284,1.0
5,frozenset({'Atingido_Seca'}),"frozenset({'Tem_RR_Seca', 'Tem_Instr_Deslizamento', 'Tem_RR_Des', 'Nao_Tem_Instr_Municipais'})",0.38329764453961457,0.057815845824411134,0.057815845824411134,0.15083798882681565,2.6089385474860336,0.03565516830284884,1.1095458131409894,1.0
6,frozenset({'Tem_RR_Seca'}),"frozenset({'Atingido_Alagamentos', 'Atingido_Seca', 'Nao_Tem_Instr_Municipais'})",0.39186295503211993,0.055674518201284794,0.055674518201284794,0.14207650273224043,2.551912568306011,0.03385773697893979,1.1007105934341712,1.0000000000000002
7,frozenset({'Atingido_Seca'}),"frozenset({'Tem_RR_Seca', 'Atingido_Alagamentos', 'Nao_Tem_Instr_Municipais'})",0.38329764453961457,0.055674518201284794,0.055674518201284794,0.14525139664804468,2.6089385474860336,0.034334606513854435,1.1047990930847713,1.0
8,frozenset({'Tem_Instr_Deslizamento'}),"frozenset({'Tem_RR_Des', 'Atingido_Enchente', 'Nao_Tem_Instr_Municipais'})",0.3083511777301927,0.05353319057815846,0.05353319057815846,0.1736111111111111,3.2430555555555554,0.03702616821572845,1.1453043744264302,1.0000000000000002
9,frozenset({'Tem_Medida_Estrutural_RRD'}),"frozenset({'MS', 'Atingido_Enchente'})",0.42398286937901497,0.055674518201284794,0.055674518201284794,0.1313131313131313,2.3585858585858586,0.032069476223009874,1.087072356954335,1.0
10,frozenset({'Atingido_Enchente'}),"frozenset({'Nao_Tem_RR_Enchente', 'Atingido_Alagamentos'})",0.23126338329764454,0.05353319057815846,0.05353319057815846,0.23148148148148148,4.3240740740740735,0.04115292380633595,1.2315471737055288,1.0
11,frozenset({'Atingido_Seca'}),"frozenset({'Tem_RR_Seca', 'Nao_ATV_P&DC'})",0.38329764453961457,0.055674518201284794,0.055674518201284794,0.14525139664804468,2.6089385474860336,0.034334606513854435,1.1047990930847713,1.0
